"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"263-282.7",269,"PRIMARIO UAN PREPARATORIA No,1","TEPIC","UNIVERSIDAD AUTONOMA DE NAYARIT","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º29'43.68""","104º53'24.91""",930,"DIRECTOR DEL PLANTEL","311-2118828",21.4954666666667,-104.890252777778
"263-282.8",270,"U.A.N. EN SU TOTALIDAD","TEPIC","UNIVERSIDAD AUTONOMA DE NAYARIT","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",4000,"21º29'26.08""","104º53'41.65""",930,"RECTOR DE LA U.A.N.","311-2118800",21.4905777777778,-104.894902777778
"263-282.9",271,"ESCUELA PRIMARIA “JUSTO SIERRA”","TUXPAN","INDEPENDENCIA Y FORTUNA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º56'41.13""","105º18'08.00""",10,"FIDEL JOSE BUENO MEDINA ","319-2320495                319-2321839               CEL 311-2625707",21.9447583333333,-105.302222222222
"263-282.10",272,"ESCUELA PRIMARIA “JOSÉ MARÍA MORELOS Y PAVÓN”","TUXPAN","INDEPENDENCIA Y ZARAGOZA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º56'41.92""","105º17'55.05""",10,"SAUL GALINDO FIGUEROA ","319-2320009",21.9449777777778,-105.298625
"263-282.11",273,"ESC. SEC. FEDERAL “IGNACIO ZARAGOZA”","TUXPAN","INDEPENDENCIA E ITURBIDE ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º56'32.72""","105º17'32.37""",10,"DIRECTOR DEL PLANTEL","319-2320503",21.9424222222222,-105.292325
"263-282.12",274,"ESCUELA PRIMARIA ADOLFO LOPEZ MATEOS","TUXPAN","CALLE MANUEL URIBE Y CORONA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º56'21.24""","105º17'12.49""",10,"DIRECTOR DEL PLANTEL","319-2323544",21.9392333333333,-105.286802777778
"263-282.13",275,"JARDÍN DE NIÑOS “LAURELES Y GÓNGORA”","TUXPAN","CALLE FORTUNA Y LIBERTAD ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",160,"21º56'34.28""","105º18'09.35""",10,"DIRECTOR DEL PLANTEL","319-2323987",21.9428555555556,-105.302597222222
"263-282.14",276,"SALON EJIDAL","TUXPAN","INDEPENDENCIA Y LERDO ","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º56'39.50""","105º18'02.40""",10,"PDTE. PEDRO FLORES CARRILLO","319-2320072",21.9443055555556,-105.300666666667
"263-282.15",277,"PREPARATORIA No:5","TUXPAN","INDEPENDENCIA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21º56'28.21""","105º17'04.85""",10,"Héctor ENRIQUE SEDANO","319-2322710",21.9411694444444,-105.284680555556
"263-282.16",278,"ESC. SEC. FED. “HERIBERTO JARA”","TUXPAN","CARRETERA TUXPAN, PEÑAS ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21º56'31.00""","105º16'47.75""",10,"BERNARDINO PARADA RUBIO","319-2320497",21.9419444444444,-105.279930555556
"263-282.17",279,"ESCUELA AQUILES SERDAN","TUXPAN","UNION DE CORRIENTES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º58'31.22""","105º25'48.10""",10,"MA. DE JESUS PARTIDA RUIZ","319-2320477",21.9753388888889,-105.430027777778
"263-282.18",280,"ESCUELA RAMON PEREZ VAZQUEZ","TUXPAN","UNION DE CORRIENTES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21º58'31.22""","105º25'48.10""",10,"JAVIER CEJA JIMENEZ","319-2320710",21.9753388888889,-105.430027777778
"263-282.20",282,"EDIFICIO DEL DIF MUNICIPAL","LA YESCA","PUENTE DE CAMOTLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º41'58.54""","104º04'42.08""",1100,"JORGE ANTONIO SANDOVAL BENAVIDEZ","311-2581174                   311-2581176",21.6995944444444,-104.078355555556
"283-302.2",284,"EDIFICIO DEL DIF ","LA YESCA","HUAJIMIC","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º40'57.24""","104º18'58.10""",1110,"RAQUEL DEL REAL GAMBOA","311-2581174                   311-2581176",21.6825666666667,-104.316138888889
"283-302.3",285,"ESCUELA PRIMARIA IGNACIO ZARAGOZA","LA YESCA","HUAJIMIC","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º40'57.24""","104º18'58.10""",1110,"BLADIMIR BARAJAS DE LA TORRE","311-2581174                   311-2581176",21.6825666666667,-104.316138888889
"283-302.4",286,"PRESIDENCIA MUNICIPAL","LA YESCA","LA YESCA","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º19'06.88""","104º00'32.24""",1400,"MARCOS FLORES MEDINA","044311-1227149",21.3185777777778,-104.008955555556
"283-302.5",287,"CASA DE GOBIERNO MUNICIPAL ""LOS PINOS""","LA YESCA","LA YESCA","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º19'06.88""","104º00'32.24""",1400,"MARCOS FLORES MEDINA","044311-1227149",21.3185777777778,-104.008955555556
"283-302.6",288,"DELEGACION MUNICIPAL","LA YESCA","APOZOLCO","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º25'43.27""","103º54'34.10""",660,"MARTIN ESCOBEDO SOTO","555-1519315",21.4286861111111,-103.909472222222
"283-302.7",289,"ESCUELA SECUNDARIA","LA YESCA","APOZOLCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º25'43.27""","103º54'34.10""",660,"J. MARIO PEREZ VALDIVIA","555-1519315",21.4286861111111,-103.909472222222
"283-302.8",290,"DELEGACION MUNICIPAL","LA YESCA","CORTAPICO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º28'30.91""","103º48'02.47""",1040,"ORENCIO MACIAS MIRAMONTES","555-1519321",21.4752527777778,-103.800686111111
"283-302.9",291,"ESCUELA PRIMARIA HIMNO NACIONAL","LA YESCA","CORTAPICO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º28'30.91""","103º48'02.47""",1040,"LOURDES HERNANDEZ RUIZ","555-1519321",21.4752527777778,-103.800686111111
"283-302.10",292,"CASA DEL MAESTRO","LA YESCA","AMATLAN DE JORA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º23'21.18""","104º08'09.88""",1200,"LUIS AGUILAR SILVA","555-1519318",21.3892166666667,-104.136077777778
"283-302.11",293,"BODEGA DE USOS MULTIPLES","LA YESCA","HACIENDA AMBAS AGUAS","BODEGA","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º21'15.44""","104º10'03.79""",1040,"BALTAZAR ROJAS","555-1503591",21.3542888888889,-104.167719444444
"283-302.12",294,"SALON EJIDAL","XALISCO","PANTANAL","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º25'31.81""","104º51'34.21""",960,"EPIFANIO LOPEZ VIZCARRA","311-2190136",21.4255027777778,-104.859502777778
"283-302.13",295,"SALON EJIDAL","XALISCO","CUARENTEÑO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º27'32.10""","105º01'43.28""",1020,"FRANCISCO DE DIOS PADILLA","200-1248022",21.4589166666667,-105.028688888889
"283-302.14",296,"SALON EJIDAL","XALISCO","PALAPITAS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º25'43.08""","105º03'34.55""",580,"JORGE FLORES CASTELLON","PCM: 311-2112020    CEL. 044311-1256098",21.4286333333333,-105.059597222222
"283-302.15",297,"SALON EJIDAL","XALISCO","TEPOZAL","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º23'14.06""","105º03'58.47""",300,"CRESCENCIANO ZUÑIGA TORRES","PCM: 311-2112020    CEL. 044311-1256098",21.3872388888889,-105.066241666667
"283-302.16",298,"SALON EJIDAL","XALISCO","EL MALINAL","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º22'11.44""","105º01'30.20""",700,"RAMON GARCIA REA","200-1247992",21.3698444444444,-105.025055555556
"283-302.17",299,"SALON EJIDAL","XALISCO","SAN ANTONIO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º22'10.77""","105º03'56.41""",400,"JUAN ANTONIO ISIORDIA MORALES","PCM: 311-2112020    CEL. 044311-1256098",21.3696583333333,-105.065669444444
"283-302.18",300,"SALON EJIDAL","XALISCO","JUAN ESCUTIA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21º20'57.10""","105º06'53.32""",120,"COMISARIADO EJIDAL","PCM: 311-2112020    CEL. 044311-1256098",21.3491944444444,-105.114811111111
"283-302.19",301,"SALON EJIDAL","XALISCO","EL TESTERAZO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º24'07.12""","104º53'36.88""",1020,"COMISARIADO EJIDAL","311-2113760",21.4019777777778,-104.893577777778
"283-302.20",302,"SALON EJIDAL","XALISCO","AQUILES SERDAN","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º22'56.22""","104º53'18.27""",960,"CRUZ ARGELIO GONZALEZ LOPEZ","PCM: 311-2112020    CEL. 044311-1256098",21.3822833333333,-104.888408333333
"303-322.1",303,"SALON EJIDAL","XALISCO","LA CURVA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º25'35.48""","104º50'13.24""",920,"ROSALIO ZAMBRANO CARVAJAL","311-2142152",21.4265222222222,-104.837011111111
"303-322.2",304,"SALON EJIDAL","XALISCO","COFRADÍA DE CHOCOLON","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º21'46.42""","104º58'46.16""",1000,"LUIS BERMUDES NAVARRO","200-1268638",21.3628944444444,-104.979488888889
"303-322.3",305,"ESCUELA SECUNDARIA LAZARO CARDENAS","HUAJICORI","CALLE ALDAMA SALIDA  A PICACHOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"22º38'43.52""","105º19'17.67""",60,"MARTHA MARGARITA OROZCO MAYORQUIN","325-2517100              CEL 311-1003311",22.6454222222222,-105.321575
"303-322.4",306,"ESCUELA PRIMARIA JIX CHAT","HUAJICORI","SALIDA A QUIVIQUINTA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22º38'44.59""","105º19'23.19""",60,"PANFILA PATRICIA ALVAREZ BARRAZA","PCM: 325-2517060    CEL. 325-2517177",22.6457194444444,-105.323108333333
"303-322.5",307,"JARDIN DE NIÑOS SOR JUANA INES DE LA CRUZ","HUAJICORI","P. SANCHEZ Y ALDAMA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22º38'15.36""","105º19'08.69""",60,"SANDRA L. JIMENEZ HERNANDEZ","PCM: 325-2517060    CEL. 325-2517177",22.6376,-105.319080555556
"303-322.6",308,"JARDIN DE NIÑOS FCO. GAVILONDO SOLER","HUAJICORI","ALDAMA Y ABASOLO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22º38'30.83""","105º19'12.46""",60,"NORMA PATRICIA CASTAÑEDA GONZALEZ","PCM: 325-2517060    CEL. 325-2517177",22.6418972222222,-105.320127777778
"303-322.7",309,"ESCUELA PRIMARIA ESTADO DE TAMAULIPAS","HUAJICORI","CALLE P. SANCHEZ Y GRAL GUZMAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"22º38'14.64""","105º19'14.89""",60,"PROFA. MA DEL SOCORRO MONTEON ","PCM: 325-2517060    CEL. 325-2517177",22.6374,-105.320802777778
"303-322.8",310,"SALON EJIDAL","HUAJICORI","CALLE P. SANCHEZ S/N","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"22º38'13.192","105º19'12.72""",60,"CARLOS PARTIDA FREGOSO","PCM: 325-2517060    CEL. 325-2517177",22.6369972222222,-105.3202
"303-322.9",311,"CBTA","HUAJICORI","KM. 1 SALIDA A ACAPONETA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"22º38'18.81""","105º19'28.80""",60,"ING. FRANCISCO PLATA PEÑA","PCM: 325-2517060    CEL. 325-2517177",22.6385583333333,-105.324666666667
"303-322.10",312,"ESCUELA SECUNDARIA TECNICA INDUSTRIAL","IXTLAN DEL RIO","EMILIANO ZAPATA NO. 58 COL. EMILIO M. GLEZ.","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",72,"21º01'54.00""","104º21'24.45""",1140,"FERNANDO FLORES GARCIA","324-2432400",21.0316666666667,-104.356791666667
"303-322.11",313,"ESCUELA “NARCIZO MENDOZA”","IXTLAN DEL RIO","HIDALGO NO. 329 PTE.","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",136,"21º02'10.26""","104º22'28.59""",1140,"DIR. SOCORRO AQUINO HERNANDEZ","324-2760293",21.0361833333333,-104.374608333333
"303-322.12",314,"ESCUELA “JOSEFA ORTIZ DE DOMÍNGUEZ”","IXTLAN DEL RIO","HIDALGO NO. 381 PTE.","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",108,"21º02'11.01""","104º22'33.12""",1140,"FELIPE IGNACIO FAUSTO FLORES","324-1003182",21.0363916666667,-104.375866666667
"303-322.13",315,"ESCUELA “LIC. BENITO JUÁREZ”","IXTLAN DEL RIO","LICEAGA No. 83 NORTE ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",108,"21º02'14.64""","104º21'52.22""",1140,"HECTOR RAMIREZ RIVERA","PCM: 324-2433904   NEXTEL 62*375578*1",21.0374,-104.364505555556
"303-322.14",316,"C.E.B.T.I.S. No. 27","IXTLAN DEL RIO","AGUSTIN MELGAR ESQ. JUAN ESCUTIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",120,"21º01'59.59""","104º22'47.65""",1140,"ALICIA PARRA RIVERA","PCM: 324-2433904   NEXTEL 62*375578*1",21.0332194444444,-104.379902777778
"303-322.15",317,"ESC. PRIMARIA URB. “IGNACIO M. ALTAMIRANO”","IXTLAN DEL RIO","REVOLUCIÓN No. 583 ORIENTE, ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º02'24.07""","104º21'31.18""",1140,"DIRECTOR DEL PLANTEL ","PCM: 324-2433904   NEXTEL 62*375578*1",21.0400194444444,-104.358661111111
"303-322.16",318,"ESCUELA PRIMARIA RAMON CORONA","IXTLAN DEL RIO","NARANJO ESQ. HIDALGO NO. 596 ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",35,"21º01'49.29""","104º21'15.39""",1140,"JOSE DE JESUS CARRILLO ROBLES","PCM: 324-2433904   NEXTEL 62*375578*1",21.0303583333333,-104.354275
"303-322.17",319,"ESCUELA PREPARATORIA NO. 6","IXTLAN DEL RIO","EULOGIO PARRA S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",108,"21º02'03.65""","104º22'44.81""",1140,"LUIS MARTINEZ HERNANDEZ","PCM: 324-2433904   NEXTEL 62*375578*1",21.0343472222222,-104.379113888889
"303-322.18",320,"U.A.N.  UNIDAD ACADEMICA DEL SUR","IXTLAN DEL RIO","HIDALGO, CARRETERA INTERNACIONAL ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",78,"21º02'06.70""","104º22'08.71""",1140,"J. MANUEL TOVAR GARCIA","PCM: 324-2433904   NEXTEL 62*375578*1",21.0351944444444,-104.369086111111
"303-322.19",321,"ESCUELA PRIMARIA “16 DE SEPTIEMBRE”","JALA","HIDALGO No. 180","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",49,"21º06'18.74""","104º26'12.75""",1080,"PROFR. ADAUTO TORRES LUCACHIN","CEL. 324-1003376",21.1052055555556,-104.436875
"303-322.20",322,"ESCUELA PRIMARIA” MIGUEL HIDALGO Y COSTILLA","JALA","MORELIA No.44","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",70,"21º06'19.22""","104º26'34.16""",1080,"DIRECTOR DEL PLANTEL","CEL. 324-1003376",21.1053388888889,-104.442822222222
"323-345.1",323,"ESC. SEC. FED. “RICARDO FLORES MAGON”","JALA","AV. DE LA AMISTAD  S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",126,"21º06'12.00""","104º25'43.71""",1080,"JOSE MANUEL JIMENEZ TALAMANTES ","CEL 311-1770321",21.1033333333333,-104.428808333333
"323-345.2",324,"C.B.T.A. NO. 107","JALA","DOMICILIO CONOCIDO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º06'04.73""","104º25'55.04""",1080,"PROFR. ALEJANDRO FRANQUEZ SOLIS","CEL. 324-1003376",21.1013138888889,-104.431955555556
"323-345.3",325,"JARDÍN DE NIÑOS “JOSE MARIA SALAZAR”","JALA","ABASOLO No. 12","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",49,"21º06'10.70""","104º26'19.64""",1080,"DIRECTOR DEL PLANTEL","CEL. 324-1003376",21.1029722222222,-104.438788888889
"323-345.4",326,"ESCUELA PRIMARIA GRAL. EULOGIO PARRA","JALA","DOMICILIO CONOCIDO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º06'12.27""","104º25'45.35""",1080,"PROFR. JUAN RAFAEL GARCIA","CEL. 324-1003376",21.1034083333333,-104.429263888889
"323-345.5",327,"DIF MUNICIPAL JOMULCO","JALA","ZARAGOZA No. 83","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",77,"21º06'11.81""","104º25'21.74""",1080,"JUAN JOSE CARRILLO PEREZ","CEL. 324-1003376",21.1032805555556,-104.422705555556
"323-345.6",328,"SALON EJIDAL","JALA","ROSA BLANCA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º07'23.74""","104º21'29.19""",1950,"COMISARIADO EJIDAL","324-2417100",21.1232611111111,-104.358108333333
"323-345.7",329,"ESCUELA SECUNDARIA","JALA","ROSA BLANCA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º07'23.74""","104º21'29.19""",1950,"DIRECTOR DEL PLANTEL","324-2417100",21.1232611111111,-104.358108333333
"323-345.8",330,"ESCUELA PRIMARIA","JALA","ROSA BLANCA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º07'23.74""","104º21'29.19""",1950,"DIRECTOR DEL PLANTEL","324-2417100",21.1232611111111,-104.358108333333
"323-345.9",331,"SALON EJIDAL","JALA","LOS AGUAJES","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º06'29.10""","104º21'16.78""",1850,"COMISARIADO EJIDAL","324-2417101",21.1080833333333,-104.354661111111
"323-345.10",332,"ESCUELA PRIMARIA","JALA","LOS AGUAJES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º06'29.10""","104º21'16.78""",1850,"DIRECTOR DEL PLANTEL","324-2417101",21.1080833333333,-104.354661111111
"323-345.11",333,"ESCUELA SECUNDARIA","JALA","COFRADIA DE JUANACATLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º06'28.65""","104º19'22.18""",1900,"DIRECTOR DEL PLANTEL","CEL. 324-1003376",21.1079583333333,-104.322827777778
"323-345.12",334,"TELESECUNDARIA","JALA","COAPAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º08'30.44""","104º28'14.56""",1250,"DIRECTOR DEL PLANTEL","311-2142204",21.1417888888889,-104.470711111111
"323-345.13",335,"ESCUELA PRIMARIA","JALA","COAPAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º08'30.44""","104º28'14.56""",1250,"DIRECTOR DEL PLANTEL","311-214204",21.1417888888889,-104.470711111111
"323-345.17",339,"ESCUELA PRIMARIA BENITO JUAREZ","ROSAMORADA","JUAREZ S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22° 07' 23.75""","105º12'12.34""",30,"DIRECTOR DEL PLANTEL","PCM: 319-2340005   CEL. 323-1050294",22.1232638888889,-105.203427777778
"323-345.18",340,"ESCUELA PRIMARIA EMILIANO ZAPATA","ROSAMORADA","INSURGENTES S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"22ª07'12.12""","105ª12'40.18""",30,"DIRECTOR DEL PLANTEL","319-2340590",22.1200333333333,-105.211161111111
"323-345.19",341,"ESCUELA PRIMARIA PRESIDENTE MIGUEL ALEMAN VALDEZ","ROSAMORADA","HIDALGO S/N COL. CENTRO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22ª07'25.40""","105ª12'12.57""",30,"DIRECTOR DEL PLANTEL","PCM: 319-2340005   CEL. 323-1050294",22.1237222222222,-105.203491666667
"323-345.20",342,"PRESIDENCIA MUNICIPAL","ROSAMORADA","MEXICO NO. 14 COL. CENTRO","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22ª07'22.61""","105ª12'16.64""",30,"PRESIDENTE MUNICIPAL","319-2340005",22.1229472222222,-105.204622222222
"323-345.21",343,"SALON EJIDAL","ROSAMORADA","PARAMITA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"22°08'22.34""","105°11'33.88""",30,"ONESIMO FRANCO BOBADILLA","323-2352410",22.1395388888889,-105.192744444444
"323-345.22",344,"ESC. PRIMARIA","ROSAMORADA","PASO REAL DE BEJUCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"22°01'08.65""","105°11'33.97""",20,"DIRECTOR DEL PLANTEL","319-2348092",22.0190694444444,-105.192769444444
"323-345.23",345,"SALON EJIDAL","ROSAMORADA","PASO REAL DE BEJUCO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°01'08.65""","105°11'33.97""",20,"EFREN ARREOLA CABRALES","319-2348092",22.0190694444444,-105.192769444444
"346-365.1",346,"SALON EJIDAL","ROSAMORADA","PERICOS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",70,"22°02'58.87""","105°21'15.09""",15,"JOSE ALBERTO CERVANTES ZURITA","319-2335263",22.0496861111111,-105.354191666667
"346-365.2",347,"CASINO EJIDAL","ROSAMORADA","PERICOS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"22°02'58.87""","105°21'15.09""",15,"JOSE ALBERTO CERVANTES ZURITA","319-2335264",22.0496861111111,-105.354191666667
"346-365.3",348,"ESCUELA PRIMARIA","ROSAMORADA","PIMIENTILLO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22°00'57.05""","105°24'38.39""",15,"PABLO ANZALDO TOPETE","319-2346068",22.0158472222222,-105.410663888889
"346-365.4",349,"SALON EJIDAL","ROSAMORADA","PIMIENTILLO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°00'57.05""","105°24'38.39""",15,"PABLO ANZALDO TOPETE","319-2346073",22.0158472222222,-105.410663888889
"346-365.5",350,"ESC. PRIMARIA","ROSAMORADA","PROVIDENCIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°10'07.18""","105°14'32.68""",20,"ULISES ARREDONDO","PCM: 319-2340005   CEL. 323-1050294",22.1686611111111,-105.242411111111
"346-365.6",351,"SALON EJIDAL","ROSAMORADA","PUENTE DEL BEJUCO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21°58'49.07""","105|11'33.55""",20,"ENRIQUE GOMEZ","PCM: 319-2340005   CEL. 323-1050294",21.9802972222222,-105.192652777778
"346-365.7",352,"ESC. PRIMARIA LAZARO CARDENAS","ROSAMORADA","SAN VICENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",600,"21°56'59.32""","105|17'47.44""",20,"HILDA ESTRADA MORAN","319-2321101",21.9498111111111,-105.296511111111
"346-365.8",353,"SALON EJIDAL","ROSAMORADA","SAN VICENTE","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21°56'59.32""","105|17'47.44""",20,"J. JESUS ESTRADA LARA","319-2321101",21.9498111111111,-105.296511111111
"346-365.9",354,"ESC. PRIMARIA","ROSAMORADA","FRANCISCO VILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"22|13'14.18""","105°19'45.96""",15,"DIRECTOR DEL PLANTEL","319-4880412",22.2206055555556,-105.329433333333
"346-365.10",355,"ESC. PRIMARIA","ROSAMORADA","LA BOQUITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21°59'59.42""","105°20'33.76""",10,"JOSE ECHEGARAY LERMA","319-2328100",21.9998388888889,-105.342711111111
"346-365.11",356,"TELESECUNDARIA","ROSAMORADA","LA BOQUITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21°59'59.42""","105°20'33.76""",10,"JOSE ECHEGARAY LERMA","319-2328101",21.9998388888889,-105.342711111111
"346-365.12",357,"ESC. PRIMARIA","ROSAMORADA","COL. 18 DE MARZO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°02'04.77""","105°18'33.65""",15,"FELIX ACOSTA VALLE","319-2326100",22.0346583333333,-105.309347222222
"346-365.13",358,"ESC. PRIMARIA","ROSAMORADA","COYOTES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",24,"21°58'42.09""","105°06'40.34""",20,"LAZARO MICHEL GALVAN","PCM: 319-2340005   CEL. 323-1050294",21.9783583333333,-105.111205555556
"346-365.14",359,"ESC. PRIMARIA","ROSAMORADA","LA LOMA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"21°58'23.22""","105°16'53.67""",20,"CINTHIA GIL OROZCO","323-2351571",21.9731166666667,-105.281575
"346-365.15",360,"ESC. PRIMARIA","ROSAMORADA","MINITAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°04'13-26""","105°11'09.45""",30,"ROBERTO CORDERO DERA","319-2340245",22.07035,-105.185958333333
"346-365.16",361,"SALON EJIDAL","ROSAMORADA","MINITAS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"22°04'13-26""","105°11'09.45""",30,"ROBERTO CORDERO DERA","319-2340245",22.07035,-105.185958333333
"346-365.17",362,"ESC. PRIMARIA","ROSAMORADA","LAS PILAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°02'04.70""","105°09'47.33""",20,"ISRAEL CERVANTES CAMACHO","323-2351611",22.0346388888889,-105.163147222222
"346-365.18",363,"ESC. PRIMARIA","ROSAMORADA","LAZARO CARDENAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"22°12'29.47""","105°15'10.33""",50,"ANTONIO MORENO ORTIZ","PCM: 319-2340005   CEL. 323-1050294",22.2081861111111,-105.252869444444
"346-365.19",364,"ESC. PRIMARIA","ROSAMORADA","LLANO DEL TIGRE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"22°07'37.23""","105°18'17.80""",20,"CAMILO GONZALEZ RAMOS","200-1247915",22.1270083333333,-105.304944444444
